意图	语料
景点	你好，麻烦帮我推荐一个门票免费的景点。
景点	这几个景点中哪个评分为5分？
景点	好的，那红砖美术馆的地址在哪？
景点	好的，那游玩时间大概是多长时间？
餐馆	好的，麻烦再帮我看一下拿渡麻辣香锅(万达广场店)的营业时间。
餐馆	那这家店评分是多少？
酒店	请再帮我推荐一家最低价格400-500元的酒店。
酒店	这几家店中，哪家的评分在4.5分以上？
酒店	那酒店周边有哪些景点呢？
thank	好的，谢谢啦。
thank	没有了，谢谢。
酒店	你好，我想找一个提供叫醒服务，评分是4分以上的经济型酒店住宿，可以帮我推荐一个吗？
酒店	嗯，我想去欣燕都连锁酒店(北京珠市口店)，知道它家的电话是多少吗？
景点	好的，我记下了，明天我要出去游玩，知道哪些景点评分是4分以上吗？
景点	我觉得北京海洋馆应该能挺好玩的，这里的游玩时间是多久？
景点	还不错，那你知道联系电话吗？
餐馆	太好了，游玩之后肯定得挺饿，我想先物色一个人均消费100-150元，推荐菜有腰子的餐馆，你有什么好的建议吗？
餐馆	是吗，那你知道这家餐馆周边还有哪些其他餐馆吗？
餐馆	太好了，麻烦你告诉我一下它家电话好吗？
thank	好的，真是太谢谢你了！
thank	你好，帮我推荐一个价位在400-500元之间的酒店，评分要在4.5分以上的，谢谢。
酒店	雅悦酒店(北京西直门店)的周边有啥好玩的地方吗？
餐馆	我和妈妈去吃饭，想找一家有酸辣蕨根粉的餐馆，最好人均消费在100-150元之间的，评分在4分以上的，有推荐的吗？
餐馆	青年餐厅的地址在哪呢？周边有啥好吃的餐馆？
景点	好的，我约了同学出去玩，帮我推荐一个没有门票费的景点吧。
景点	童话树屋适合游玩多长时间呢？
thank	好的，谢谢。
景点	您好，我想找一个票价在20-50元之间的景点游玩1小时 - 2小时，有什么推荐吗？
景点	国家大剧院的电话是多少啊？
酒店	游玩结束我想找一家提供无烟房的酒店住宿，有什么推荐的吗？
酒店	瑞尔威连锁饭店(北京西客站店)的地址是多少啊？
餐馆	我还想找一家人均消费在50-100之间的餐馆用餐，帮我推荐一家吧？
餐馆	都一处烧麦馆(前门店)的评分是多少啊？地址在哪啊？
thank	好的，谢谢，我没有其他问题了。
餐馆	你好，你能帮我安排一个人均消费100-150元，评分是5分的餐馆吗？
餐馆	行啊，那就去这里尝尝呗，知道这个餐馆的营业时间吗？
餐馆	好的，你有餐馆的电话吗？
景点	嗯我知道了，吃完饭我想找个评分是4.5分以上，票价免费的景点溜达一会，你能给我推荐一个吗？
景点	还行吧，我对梅先生还是挺崇拜的，你有这个景点的电话吗？
景点	好的，知道这个景点周边还有哪些景点吗？
酒店	这么多好玩的地方啊，真不错啊，溜达完我想找个地方休息，你可以帮我推荐一个价格是400-500元的酒店吗？
酒店	我无所谓，能住就好，找个酒店是什么类型的呀？
酒店	不错啊，你知道酒店周边有啥景点吗？
景点	太可惜了，我还打算在酒店周边找个票价免费，游玩时长是3天的景点游玩呢，你有什么好的建议吗？
景点	是吗，那我真想去这儿好好溜达溜达呢，你有这个景点的地址吗？
景点	收到，这个景点周边都有什么酒店呀？
thank	那好吧，我知道了，谢谢你啊！
景点	你好，帮我推荐一个能玩12小时-3天的景点，最好评分在4.5分以上的。
景点	居庸关长城的门票贵吗？附近有啥好吃的餐馆？
酒店	玩累了我想去北京鑫星酒店休息，请帮我查询下这个酒店的周边有哪些餐馆和景点。
出租	好的，我想从居庸关长城打车到北京鑫星酒店，请帮我查询下出租车的车型和车牌。
餐馆	好的，我想找一个人均消费在150-500元之间的餐馆，最好评分在4分以上，有推荐的吗？
餐馆	基辅罗斯餐厅(翠微店)的周边有哪些景点和酒店呢？
地铁	好的，我想从北京鑫星酒店坐地铁到基辅罗斯餐厅(翠微店)，请帮我查询下出发地地铁站和目的地地铁站。
thank	好的，谢谢你。
景点	你好，我想和朋友找个景点转转，有没有门票在150元到200元之间，评分在4.5分以上的？最好可以玩2、3个小时的。
景点	行，有景点的电话吗？
thank	好，谢谢。
景点	你好，帮我推荐一个能玩1个小时左右的景点，最好票价在20元以内的。
景点	好，芳草地画廊的评分高吗？周边有啥好吃的餐馆？
餐馆	这些餐馆中谁家有酱炖鱼并且人均消费在50元以下的？
餐馆	好，静心居的评分高吗？周边有啥酒店呢？
酒店	没关系，那就帮我推荐一个能提供商务中心的酒店吧。
酒店	好，把北京龙鼎华鼎云酒店的地址和电话告诉我。
餐馆	我女朋友想吃自制豆腐了，谁家有这道菜呢？
餐馆	好啊，北平食府的周边有啥酒店和景点呢？
thank	好的，谢谢。
景点	你好，请给我推荐一个游玩时长3天的评分在4.5分以上的景点游玩。
景点	请问这个景点周边还有哪些别的景点啊？
景点	景点的电话是多少啊？
餐馆	好的，我想去餐馆吃饭，请给我推荐一家有超级至尊、金枪鱼沙拉这两道菜的餐馆。
餐馆	这个餐馆的电话多少，评分怎么？
thank	好的，谢谢了。
餐馆	你好，和朋友定好外出聚会，能帮我们找个评分是5分，人均消费在50-100元之间的餐厅吗？
餐馆	好啊，那儿都什么时间营业呀？
餐馆	可以，我记下了。那餐厅旁边有哪些还不错的酒店呢？
景点	多谢。接下来我们打算到太平洋海底世界博览馆玩玩，方便给我个电话吗？
thank	好的，感谢。
thank	您好，请帮我找一家提供中式餐厅、提供接站服务的经济型酒店，谢了！
酒店	这家酒店地址在哪？什么价格？
